"No","DITA File Path","Document Type","Transformation Status","XSLT Pipeline Applied","Failed XSLT","Error Line","Error Description"
"28","output/Printer_Setup_UserGuide/copying/copying_options.dita","REFERENCE","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> reference.xsl","","",""
"29","output/Printer_Setup_UserGuide/copying_map.ditamap","MAP","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> map.xsl","","",""
"30","output/Printer_Setup_UserGuide/loading_paper/borderless_paper_type_compatibility.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"31","output/Printer_Setup_UserGuide/loading_paper/compatible_metr_papers.dita","REFERENCE","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> reference.xsl","","",""
"32","output/Printer_Setup_UserGuide/loading_paper/double_sided_printing_capacity.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"33","output/Printer_Setup_UserGuide/loading_paper/loading_paper.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"34","output/Printer_Setup_UserGuide/loading_paper/loading_paper_in_the_rear_paper_feeder.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"35","output/Printer_Setup_UserGuide/loading_paper/paper_loading_capacity.dita","REFERENCE","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> reference.xsl","","",""
"36","output/Printer_Setup_UserGuide/loading_paper/paper_or_media_type_settings_control_panel.dita","REFERENCE","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> reference.xsl","","",""
"37","output/Printer_Setup_UserGuide/loading_paper/paper_or_media_type_settings_printing_software.dita","REFERENCE","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> reference.xsl","","",""
